restaurant_id	name	city_id	stars
272	Ze Kitchen Galerie	1417	1
273	Aida	1417	1
274	Auguste	1417	1
275	ES	1417	1
276	Les Fables de la Fontaine	1417	1
277	Gaya Rive Gauche par Pierre Gagnaire	1417	1
278	Il Vino d'Enrico Bernardo	1417	1
279	Le Jules Verne	1417	1
280	Le Violon d'Ingres	1417	1
281	Apicius	1417	1
282	L'Arome	1417	1
283	114, Faubourg	1417	1
284	Le Chiberta	1417	1
285	La Cuisine au Royal Monceau	1417	1
286	Le Diane	1417	1
287	Dominique Bouchet	1417	1
288	Il Carpaccio	1417	1
289	Laurent	1417	1
290	Okuda	1417	1
291	La Scene	1417	1
292	La Table du Lancaster	1417	1
293	Le 39V	1417	1
294	Jean	1417	1
295	Qui Plume La Lune	1417	1
296	Septime	1417	1
297	Au Trou Gascon	1417	1
298	Cobea	1417	1
299	Le Quinzieme - Cyril Lignac	1417	1
300	Antoine	1417	1
301	etcÉ	1417	1
302	La Grande Cascade	1417	1
303	Hiramatsu	1417	1
304	Le Pergolese	1417	1
305	Relais d'Auteuil	1417	1
306	St-James Paris	1417	1
307	Shang Palace	1417	1
308	Les Tablettes de Jean Louis Nomicos	1417	1
309	Agape	1417	1
310	La Fourchette du Printemps	1417	1
311	Frederic Simonin	1417	1
312	Jacques Faussat - La Braisiere	1417	1
313	Rech	1417	1
