state,city,county,season_begin,season_end,lodging_2015,m_ie_rate
NC,Greensboro,Guilford,1-Feb,30-Sep,$97 ,56 
NC,Kill Devil,Dare,1-Oct,31-Mar,$93 ,61 
NC,Kill Devil,Dare,1-Apr,31-May,$107 ,61 
NC,Kill Devil,Dare,1-Jun,31-Aug,$162 ,61 
NC,Kill Devil,Dare,1-Sep,30-Sep,$93 ,61 
NC,New Bern / Havelock,Craven ,,,$90 ,46 
NC,Raleigh,Wake,,,$98 ,66 
NC,Wilmington,New Hanover,,,$94 ,56 
ND,Dickinson / Beulah,Stark / Mercer / Billings,,,$118 ,56 
ND,Minot,Ward ,,,$102 ,56 
ND,Williston,Williams / Mountrail / McKenzie,,,$161 ,56 
NE,Omaha,Douglas,,,$102 ,61 
NH,Concord,Merrimack,,,$88 ,51 
NH,Conway,Caroll,1-Oct,28-Feb,$119 ,61 
NH,Conway,Caroll,1-Mar,30-Jun,$99 ,61 
NH,Conway,Caroll,1-Jul,31-Aug,$158 ,61 
NH,Conway,Caroll,1-Sep,30-Sep,$119 ,61 
NH,Durham,Strafford,,,$97 ,46 
NH,Laconia,Belknap,1-Oct,31-Oct,$112 ,51 
NH,Laconia,Belknap,1-Nov,31-May,$84 ,51 
NH,Laconia,Belknap,1-Jun,30-Sep,$112 ,51 
NH,Lebanon / Lincoln / West Lebanon,Grafton / Sullivan ,,,$115 ,56 
NH,Manchester,Hillsborough,,,$92 ,56 
NH,Portsmouth,Rockingham,1-Oct,30-Jun,$106 ,61 
NH,Portsmouth,Rockingham,1-Jul,31-Aug,$140 ,61 
NH,Portsmouth,Rockingham,1-Sep,30-Sep,$106 ,61 
